# obsid ra dec l b teff logg feh rv Mgb MK MKerr_low MKerr_up AK K dist disterr_low disterr_up Z R r_gc lnnu
75606117 337.46744 +6.01526 71.72230 -42.35691 4829 1.11 -1.66 -3 0.94408 -3.96 0.44 0.42 0.148 10.646 7.79 1.37 1.75 -5.22 8.26 9.77 -11.62
269507178 3.66002 +55.72871 117.73045 -6.77097 4159 1.47 -0.47 -93 3.07498 -3.82 0.36 0.24 0.252 9.721 4.55 0.48 0.82 -0.51 10.86 10.88 -7.38
342809095 263.45129 +18.10553 41.34324 +25.01157 3870 -0.24 -2.17 -22 2.94251 -6.12 0.02 0.02 0.053 11.280 29.47 0.27 0.27 12.49 21.36 24.74 -13.47
318815093 233.31128 +12.40625 19.81340 +49.41031 4386 0.53 -2.32 172 8.69468 -5.32 0.16 0.28 0.287 10.854 15.04 1.82 1.15 11.45 3.53 11.98 -12.43
224306232 105.00059 +38.12814 178.63847 +17.92010 3925 2.06 -0.20 23 5.10209 -4.08 0.34 0.30 0.074 9.441 4.89 0.63 0.83 1.53 12.65 12.74 -10.61
124809147 203.86729 +53.01481 108.35199 +62.84926 4459 1.11 -1.59 -81 0.64530 -4.74 0.48 0.52 0.122 11.215 14.68 3.13 3.63 13.09 11.94 17.71 -13.44
134405184 237.73714 +1.23273 9.62586 +39.81589 4736 1.07 -1.68 -60 0.58984 -3.56 0.96 1.10 0.060 11.084 8.26 3.28 4.59 5.31 2.04 5.69 -12.19
158106230 50.13805 -7.26097 190.54934 -49.47442 4019 1.58 -0.25 41 3.78375 -3.98 0.34 0.22 0.033 7.154 1.66 0.16 0.28 -1.24 9.06 9.15 -7.72
167906018 327.67310 +18.73331 74.23072 -26.58919 3858 1.67 -0.29 -50 4.93586 -4.58 0.32 0.24 0.057 8.471 3.97 0.42 0.63 -1.75 7.82 8.01 -8.58
168116099 19.51729 +45.99482 127.75393 -16.62744 4209 1.86 -0.52 -40 3.39388 -3.66 0.38 0.30 0.070 8.293 2.38 0.31 0.46 -0.65 9.57 9.59 -8.36
279409096 164.50194 +50.50267 157.92607 +58.21209 4649 1.01 -2.20 -133 0.66905 -4.54 0.44 0.52 0.057 11.072 12.91 2.75 2.90 11.00 14.53 18.23 -14.88
93510231 174.07549 +2.24589 263.87233 +59.29510 4483 0.92 -1.95 -26 2.31523 -5.00 0.30 0.38 -0.006 11.547 20.45 3.28 3.03 17.61 13.82 22.38 -15.91
45508178 165.86510 +25.96251 209.52136 +65.86929 4032 0.85 -0.90 -47 2.60411 -5.26 0.38 0.38 0.185 10.360 12.22 1.96 2.34 11.18 12.59 16.83 -14.16
211504110 92.29215 -6.55766 214.02086 -12.36992 3975 -0.07 -2.14 -491 0.23223 -5.62 0.32 0.56 0.117 12.011 31.83 7.24 5.05 -6.79 37.99 38.59 -16.88
337613215 161.46292 +32.12435 194.89945 +62.35525 4625 1.12 -2.19 80 0.56373 -4.52 0.46 0.52 0.035 13.046 32.08 6.83 7.57 28.44 22.71 36.40 -16.02
95010079 149.00313 +2.66816 235.45565 +41.47420 4104 -0.01 -2.32 59 -3.52872 -5.56 0.10 0.10 0.028 11.570 26.33 1.19 1.24 17.47 25.14 30.62 -15.30
126015021 133.34990 +21.17616 205.43406 +35.85952 4651 1.21 -1.80 -48 0.80318 -3.70 0.84 0.92 0.103 9.905 5.02 1.73 2.37 2.97 11.80 12.17 -11.56
108409148 80.08801 +51.85522 158.07805 +8.38616 3983 1.70 -0.26 -66 3.69422 -4.10 0.34 0.28 0.139 9.110 4.11 0.50 0.70 0.63 11.87 11.89 -7.39
307404008 88.16154 +50.62851 161.79636 +12.07875 4279 0.81 -1.68 -167 0.87294 -5.42 0.20 0.26 0.126 9.631 9.66 1.09 0.93 2.05 17.23 17.35 -12.51
135314077 234.46243 +4.94596 11.25230 +44.61473 4537 1.33 -1.77 -22 0.76045 -3.86 0.92 1.04 0.095 11.387 10.72 4.08 5.66 7.56 1.58 7.72 -11.68
229403199 223.65448 +5.13193 1.59259 +53.34327 4408 0.47 -2.38 57 0.30348 -4.96 0.42 0.74 1.105 14.208 40.98 11.83 8.74 32.90 16.47 36.79 -15.83
231906164 182.12810 +39.90234 155.08741 +74.43121 4802 1.77 -2.31 80 0.80699 -3.54 0.72 0.82 0.085 10.601 6.47 2.04 2.55 6.26 9.60 11.47 -11.80
133605103 237.32028 -1.98831 5.96673 +38.24373 4500 1.17 -1.88 33 0.74248 -4.10 0.88 1.06 0.130 10.860 9.25 3.57 4.62 5.75 1.08 5.85 -10.83
14108087 157.45392 +30.42324 198.32573 +58.91748 4782 1.29 -2.22 5 1.24920 -4.00 0.72 0.82 0.106 13.610 31.67 9.96 12.45 27.15 24.08 36.29 -17.16
337907017 246.47212 +11.76149 26.89018 +37.57789 4783 1.59 -2.36 -73 0.84884 -3.62 0.68 0.72 0.071 11.862 12.09 3.41 4.44 7.40 4.37 8.59 -12.01
232410239 137.40080 +6.24850 223.99776 +33.45318 4661 1.26 -2.32 -12 0.77450 -3.72 1.00 1.32 0.067 12.541 17.33 7.89 10.14 9.58 20.96 23.05 -14.06
150608136 182.42020 +34.75704 169.90369 +78.25011 4305 1.39 -2.39 -8 1.77952 -4.72 0.66 10.54 -0.034 11.402 17.03 16.90 6.05 16.70 11.43 20.24 -16.20
133102229 240.64435 +3.98459 14.67025 +38.92020 4734 1.47 -2.37 -179 0.62259 -3.56 0.90 0.96 0.113 11.288 8.85 3.16 4.55 5.59 2.20 6.00 -11.52
157403217 325.85239 +4.74219 60.67829 -34.54929 4626 1.28 -2.29 -234 0.61463 -4.04 0.74 0.86 0.151 9.335 4.41 1.44 1.79 -2.48 6.98 7.41 -10.16
167915045 325.91895 +20.94956 74.67912 -23.85619 4175 0.54 -1.48 -298 1.12368 -5.62 0.18 0.22 0.127 8.084 5.19 0.50 0.45 -2.07 8.15 8.41 -9.27
