# obsid ra dec l b teff logg feh rv Mgb MK MKerr_low MKerr_up AK K dist disterr_low disterr_up Z R r_gc lnnu
342809095 263.45129 +18.10553 41.34324 +25.01157 3870 -0.24 -2.17 -22 2.94251 -6.12 0.02 0.02 0.053 11.280 29.47 0.27 0.27 12.49 21.36 24.74 -13.47
318815093 233.31128 +12.40625 19.81340 +49.41031 4386 0.53 -2.32 172 8.69468 -5.32 0.16 0.28 0.287 10.854 15.04 1.82 1.15 11.45 3.53 11.98 -12.47
124809147 203.86729 +53.01481 108.35199 +62.84926 4459 1.11 -1.59 -81 0.64530 -4.74 0.48 0.52 0.122 11.215 14.68 3.13 3.63 13.09 11.94 17.71 -13.44
279409096 164.50194 +50.50267 157.92607 +58.21209 4649 1.01 -2.20 -133 0.66905 -4.54 0.44 0.52 0.057 11.072 12.91 2.75 2.90 11.00 14.53 18.23 -14.88
93510231 174.07549 +2.24589 263.87233 +59.29510 4483 0.92 -1.95 -26 2.31523 -5.00 0.30 0.38 -0.006 11.547 20.45 3.28 3.03 17.61 13.82 22.38 -15.91
211504110 92.29215 -6.55766 214.02086 -12.36992 3975 -0.07 -2.14 -491 0.23223 -5.62 0.32 0.56 0.117 12.011 31.83 7.24 5.05 -6.79 37.99 38.59 -16.88
337613215 161.46292 +32.12435 194.89945 +62.35525 4625 1.12 -2.19 80 0.56373 -4.52 0.46 0.52 0.035 13.046 32.08 6.83 7.57 28.44 22.71 36.40 -16.02
95010079 149.00313 +2.66816 235.45565 +41.47420 4104 -0.01 -2.32 59 -3.52872 -5.56 0.10 0.10 0.028 11.570 26.33 1.19 1.24 17.47 25.14 30.62 -15.30
307404008 88.16154 +50.62851 161.79636 +12.07875 4279 0.81 -1.68 -167 0.87294 -5.42 0.20 0.26 0.126 9.631 9.66 1.09 0.93 2.05 17.23 17.35 -12.51
229403199 223.65448 +5.13193 1.59259 +53.34327 4408 0.47 -2.38 57 0.30348 -4.96 0.42 0.74 1.105 14.208 40.98 11.83 8.74 32.90 16.47 36.79 -15.84
133605103 237.32028 -1.98831 5.96673 +38.24373 4500 1.17 -1.88 33 0.74248 -4.10 0.88 1.06 0.130 10.860 9.25 3.57 4.62 5.75 1.08 5.85 -11.26
150608136 182.42020 +34.75704 169.90369 +78.25011 4305 1.39 -2.39 -8 1.77952 -4.72 0.66 10.54 -0.034 11.402 17.03 16.90 6.05 16.70 11.43 20.24 -16.22
157403217 325.85239 +4.74219 60.67829 -34.54929 4626 1.28 -2.29 -234 0.61463 -4.04 0.74 0.86 0.151 9.335 4.41 1.44 1.79 -2.48 6.98 7.41 -10.97
167915045 325.91895 +20.94956 74.67912 -23.85619 4175 0.54 -1.48 -298 1.12368 -5.62 0.18 0.22 0.127 8.084 5.19 0.50 0.45 -2.07 8.15 8.41 -10.10
332703244 181.24939 +28.39142 203.23526 +79.65295 4719 1.56 -2.37 35 0.56550 -4.20 0.40 0.42 0.118 8.754 3.69 0.65 0.75 3.66 8.61 9.36 -11.24
242411110 263.12067 +3.17197 26.58589 +18.98671 4632 1.25 -2.39 -166 0.76014 -4.24 0.68 0.82 0.146 11.360 12.33 3.88 4.53 4.04 5.75 7.03 -11.68
49413249 258.50229 +16.73896 37.92623 +28.87026 4377 0.78 -2.12 -33 -0.42199 -5.18 0.28 0.42 0.050 12.104 27.98 4.92 3.85 13.54 18.85 23.21 -15.65
150407205 258.23758 +44.53477 69.95750 +35.74028 4542 1.01 -2.32 -130 0.47983 -4.72 0.46 0.62 0.125 10.694 11.42 2.84 2.70 6.70 9.96 12.00 -12.60
43414010 77.39334 +38.49662 167.89811 -0.89747 4197 1.46 -2.07 -47 0.61801 -4.94 0.48 0.64 0.481 8.865 4.62 1.18 1.14 -0.05 12.56 12.56 -10.47
350208041 231.56404 +32.67740 51.90865 +56.18012 4607 1.06 -2.27 -227 0.17169 -4.50 0.52 0.60 0.084 11.507 15.29 3.69 4.14 12.73 7.24 14.65 -14.96
347714155 270.13583 +7.22898 33.66370 +14.58639 4261 0.56 -2.05 -166 0.40050 -5.56 0.10 0.16 0.160 11.300 21.88 1.55 1.03 5.54 15.18 16.16 -12.37
327111044 135.92722 +50.12981 168.66886 +41.39633 4589 1.02 -2.38 -127 0.73537 -4.38 0.64 0.84 0.058 10.817 10.66 3.42 3.65 7.08 15.92 17.42 -14.79
14613066 15.17262 +34.87088 125.08047 -27.96227 4411 0.86 -2.23 34 0.85986 -5.10 0.30 0.42 0.058 12.251 28.75 5.06 4.26 -13.45 30.70 33.52 -15.31
238014169 280.56158 +47.16336 76.23163 +21.01625 4614 1.01 -2.27 -148 0.26582 -4.18 0.88 1.16 1.139 13.230 17.95 7.43 8.97 6.47 16.76 17.97 -15.48
236608219 245.37724 +5.96001 19.83900 +35.87302 4510 1.05 -2.22 -162 0.64928 -4.80 0.44 0.58 0.145 10.795 12.30 2.88 2.76 7.24 3.65 8.11 -11.85
299015081 35.42286 +12.99519 154.41879 -44.28909 4426 0.93 -2.14 -184 0.24108 -5.08 0.32 0.42 0.136 12.358 28.87 5.08 4.58 -20.13 28.09 34.56 -15.09
51510140 254.83679 +16.07016 35.66552 +31.87169 4605 1.16 -2.21 -94 0.51588 -4.04 0.86 1.08 0.129 12.460 18.81 7.37 9.14 9.96 10.56 14.51 -13.15
